Date,Open,High,Low,Close,Adj Close,Volume
2022-07-22,1839.359985,1842.199951,1795.290039,1806.880005,1806.880005,3246220000
2022-07-25,1810.949951,1819.099976,1798.819946,1817.770020,1817.770020,2988650000
2022-07-26,1812.500000,1812.500000,1800.290039,1805.250000,1805.250000,3083420000
2022-07-27,1814.280029,1852.859985,1814.140015,1848.339966,1848.339966,3584170000
2022-07-28,1854.180054,1873.739990,1832.770020,1873.030029,1873.030029,3882850000
2022-07-29,1874.170044,1888.219971,1865.760010,1885.229980,1885.229980,3817740000
2022-08-01,1870.489990,1892.969971,1859.880005,1883.310059,1883.310059,3540960000
2022-08-02,1875.500000,1900.729980,1875.050049,1882.449951,1882.449951,3880790000
2022-08-03,1895.380005,1912.770020,1891.050049,1908.930054,1908.930054,3544410000
2022-08-04,1908.520020,1911.569946,1899.459961,1906.459961,1906.459961,3565810000
2022-08-05,1887.540039,1922.550049,1884.180054,1921.819946,1921.819946,3540260000
2022-08-08,1928.410034,1959.130005,1928.410034,1941.209961,1941.209961,3604650000
2022-08-09,1937.250000,1937.250000,1904.969971,1912.890015,1912.890015,3337150000
2022-08-10,1935.770020,1970.949951,1935.770020,1969.250000,1969.250000,3998590000
2022-08-11,1981.930054,2005.209961,1972.630005,1975.260010,1975.260010,3925060000
2022-08-12,1978.790039,2016.619995,1978.670044,2016.619995,2016.619995,3252290000
2022-08-15,2007.410034,2022.030029,1994.680054,2021.349976,2021.349976,3087740000
2022-08-16,2018.739990,2030.050049,2003.780029,2020.530029,2020.530029,3792010000
2022-08-17,2008.880005,2008.880005,1976.140015,1987.310059,1987.310059,3293430000
2022-08-18,1987.819946,2003.010010,1982.589966,2000.729980,2000.729980,2871990000
2022-08-19,1992.300049,1992.300049,1952.500000,1957.349976,1957.349976,3210680000
2022-08-22,1931.709961,1933.689941,1911.689941,1915.739990,1915.739990,3365220000
2022-08-23,1920.130005,1937.969971,1917.319946,1919.140015,1919.140015,3117800000
2022-08-24,1918.650024,1941.150024,1916.579956,1935.290039,1935.290039,3056910000
2022-08-25,1944.380005,1964.640015,1943.199951,1964.640015,1964.640015,2976050000
2022-08-26,1965.229980,1965.310059,1898.510010,1899.829956,1899.829956,3175260000
2022-08-29,1880.630005,1898.670044,1879.130005,1882.939941,1882.939941,2963020000
2022-08-30,1889.160034,1889.349976,1847.540039,1855.589966,1855.589966,3190580000
2022-08-31,1859.180054,1865.280029,1843.079956,1844.119995,1844.119995,3797860000
2022-09-01,1826.750000,1826.750000,1799.170044,1822.819946,1822.819946,0
2022-09-02,1844.170044,1846.979980,1802.140015,1809.750000,1809.750000,0
2022-09-06,1813.180054,1815.150024,1786.680054,1792.319946,1792.319946,0
2022-09-07,1789.560059,1832.569946,1787.430054,1832.000000,1832.000000,0
2022-09-08,1823.489990,1846.910034,1810.510010,1846.910034,1846.910034,0
2022-09-09,1857.140015,1884.900024,1857.140015,1882.849976,1882.849976,0
2022-09-12,1889.800049,1906.089966,1889.800049,1906.089966,1906.089966,3814200000
2022-09-13,1879.540039,1879.540039,1825.420044,1831.569946,1831.569946,4224550000
2022-09-14,1832.689941,1840.589966,1817.520020,1838.459961,1838.459961,4293240000
2022-09-15,1830.969971,1853.030029,1818.410034,1825.229980,1825.229980,4441830000
2022-09-16,1813.859985,1813.859985,1778.770020,1798.189941,1798.189941,0
2022-09-19,1785.719971,1813.939941,1777.270020,1812.839966,1812.839966,3766850000
2022-09-20,1801.489990,1801.489990,1776.310059,1787.500000,1787.500000,4058050000
2022-09-21,1796.199951,1813.660034,1761.969971,1762.160034,1762.160034,4078330000
2022-09-22,1760.150024,1760.310059,1716.209961,1722.310059,1722.310059,4284600000
2022-09-23,1707.609985,1707.609985,1658.660034,1679.589966,1679.589966,5144270000
2022-09-26,1674.339966,1701.239990,1653.430054,1655.880005,1655.880005,4886140000
2022-09-27,1669.170044,1689.530029,1650.709961,1662.510010,1662.510010,4577740000
2022-09-28,1668.790039,1725.280029,1668.790039,1715.239990,1715.239990,4684850000
2022-09-29,1710.819946,1710.819946,1656.410034,1674.930054,1674.930054,4681810000
2022-09-30,1672.890015,1707.750000,1664.270020,1664.719971,1664.719971,5645360000
2022-10-03,1687.280029,1717.290039,1671.619995,1708.869995,1708.869995,4806680000
2022-10-04,1735.819946,1775.770020,1735.819946,1775.770020,1775.770020,5146580000
2022-10-05,1748.790039,1767.819946,1732.089966,1762.689941,1762.689941,4293180000
2022-10-06,1756.420044,1772.250000,1747.030029,1752.510010,1752.510010,4252100000
2022-10-07,1734.650024,1734.920044,1694.959961,1702.150024,1702.150024,4449660000
2022-10-10,1706.160034,1706.829956,1681.979980,1691.920044,1691.920044,3834320000
2022-10-11,1687.599976,1713.739990,1664.910034,1692.920044,1692.920044,4759030000
2022-10-12,1692.959961,1696.790039,1671.880005,1687.760010,1687.760010,4006830000
2022-10-13,1653.949951,1734.270020,1641.939941,1728.410034,1728.410034,5021680000
2022-10-14,1741.319946,1747.839966,1681.500000,1682.400024,1682.400024,4243030000
2022-10-17,1701.160034,1738.699951,1701.160034,1735.750000,1735.750000,4352780000
2022-10-18,1756.359985,1782.069946,1744.000000,1755.959961,1755.959961,4483740000
2022-10-19,1746.969971,1746.969971,1710.209961,1725.760010,1725.760010,4223800000
2022-10-20,1726.550049,1746.290039,1699.979980,1704.390015,1704.390015,4496620000
2022-10-21,1709.609985,1744.900024,1700.630005,1742.239990,1742.239990,5078020000
2022-10-24,1747.680054,1751.439941,1727.199951,1748.400024,1748.400024,4747930000
2022-10-25,1749.619995,1801.199951,1749.619995,1796.160034,1796.160034,4843120000
2022-10-26,1801.989990,1836.060059,1801.290039,1804.329956,1804.329956,4817310000
2022-10-27,1815.520020,1832.089966,1804.699951,1806.319946,1806.319946,4687320000
2022-10-28,1811.619995,1848.250000,1804.819946,1846.920044,1846.920044,4459410000
2022-10-31,1839.170044,1854.569946,1833.589966,1846.859985,1846.859985,4820620000
2022-11-01,1864.949951,1868.750000,1845.930054,1851.390015,1851.390015,4481210000
2022-11-02,1845.079956,1861.569946,1789.130005,1789.140015,1789.140015,4899000000
2022-11-03,1768.459961,1791.810059,1758.050049,1779.729980,1779.729980,4625290000
2022-11-04,1800.810059,1809.640015,1771.109985,1799.869995,1799.869995,0
2022-11-07,1808.079956,1814.760010,1793.989990,1809.810059,1809.810059,4341620000
2022-11-08,1815.520020,1831.199951,1790.880005,1808.930054,1808.930054,4607640000
2022-11-09,1796.359985,1796.849976,1757.449951,1760.400024,1760.400024,4645010000
2022-11-10,1811.284180,1861.159302,1811.284180,1860.119507,1860.119507,0
